id,sla,overdue,x,y,type
11625428-101000975345,7.0,-4.99,3133293.01,13864520.49,3.0
11714459-101001228473,1.0,0.06,3099515.26375,13794023.22348,3.0
240777-101001012494,75.0,36.94,3075831.87,13775995.74,3.0
101001213254,4.0,-3.67,3117922.4146,13789129.71817,3.0
289734-101001221807,25.0,-21.73,3100382.44804,13785665.78973,3.0
0-101001217874,180.0,-245.19,3056870.38119,13821370.353820002,3.0
11590716-101000882065,1.0,0.15,3143140.33,13876677.4,3.0
101001128553,7.0,-4.04,3178486.65,13956339.45,3.0
19402-101001140059,1.0,-2.87,3100473.28588,13850653.562259998,2.0
11626031-101000977142,60.0,-58.82,3082957.7,13872701.81,3.0
101000934729,24.0,73.25,3107034.8,13822627.39,3.0
101001054907,7.0,-5.78,3128352.6,13840881.41,3.0
0-101001057089,25.0,5.36,3168111.0,13782210.86,3.0
101001159826,4.0,-1.8,3138782.74591,13830796.08956,3.0
11642956-101001030489,15.0,-14.98,3099086.32,13820856.27,3.0
11587795-101000875314,7.0,-6.57,3089127.74,13808990.27,3.0
101001072814,7.0,-4.94,3152768.71,13787550.03,3.0
0-101001187263,180.0,-119.86,3086822.00961,13876516.378700003,3.0
11668205-101001103212,2.0,-1.83,3093129.27357,13810544.99063,3.0
275687-101000964873,30.0,275.88,3106571.13,13876626.38,3.0
11590555-101000881577,14.0,-13.0,3067788.29,13821281.89,3.0
11589426-101000878914,2.0,-1.55,3046920.42,13831256.59,3.0
248437-101001120506,51.0,-84.85,3114894.96,13857668.39,3.0
11594294-101000890244,1.0,0.0,3113142.68,13864824.06,3.0
274991-101000977188,25.0,88.11,3101025.83,13786539.6,3.0
882405-101001151121,14.0,-10.05,3083337.83846,13829088.08811,2.0
11702166-101001195869,15.0,-14.9,3115562.06696,13819630.418979997,3.0
11610346-101000930036,14.0,-13.14,3124531.91,13848144.0,3.0
11652848-101001060543,14.0,-11.97,3124410.38,13854989.79,3.0
101001011278,10.0,-8.75,3160517.06,13943168.22,3.0
11627250-101000980927,2.0,-0.97,3129259.48,13813119.72,3.0
11615653-101000945847,15.0,-14.91,3046561.34,13840733.01,3.0
0-101001064549,180.0,-150.2,3112520.64,13837639.93,3.0
0-101001039617,180.0,-119.85,3089783.99,13877302.55,3.0
0-101001054478,25.0,35.01,3138715.96,13845333.59,3.0
11695297-101001177016,2.0,-1.69,3128983.58244,13816696.87924,3.0
11629329-101000986752,1.0,-0.71,3082093.84,13793883.0,3.0
289992-101001210468,180.0,366.09,3135607.24767,13873620.30345,3.0
101001024068,14.0,2.2,3167026.49,13782980.59,3.0
11711553-101001220539,35.0,-34.82,3106319.50539,13846636.88072,3.0
101000883640,14.0,13.84,3078390.39,13879597.14,3.0
101000974427,10.0,-0.02,3081020.05,13790636.82,3.0
11599686-101000902186,15.0,-14.85,3076947.61,13828244.46,3.0
101001225869,4.0,0.03,3080461.26741,13780017.52052,3.0
101000934969,9.0,80.18,3115684.46,13851917.91,3.0
11677184-101001128156,40.0,-39.73,3127854.1,13797451.58,3.0
101000918947,4.0,-1.05,3059217.0,13856795.82,3.0
11615118-101000944198,40.0,-38.46,3066065.97,13837625.24,3.0
101000908264,24.0,27.98,3104959.82,13793719.23,3.0
11709206-101001214575,35.0,-33.21,3100493.4114,13865572.10925,3.0
11638151-101001014279,14.0,-12.99,3129454.46,13863663.73,3.0
11608185-101000924097,1.0,-0.89,3079817.77,13780466.1,3.0
11592773-101000886533,40.0,-37.24,3162706.51,13812279.12,3.0
101000993859,4.0,-0.88,3065726.17,13871885.05,3.0
11613329-101000938924,21.0,-16.49,3167991.9,13849453.96,3.0
11671267-101001112181,21.0,-15.82,3196974.92,13941180.52,3.0
11605571-101000917214,20.0,-15.63,3049086.25,13839863.46,3.0
0-101001161619,180.0,-172.78,3131391.887,13857324.07752,3.0
11602255-101000908595,2.0,-1.24,3089986.9,13781837.19,3.0
11697324-101001182436,14.0,-12.0,3150945.00341,13876802.4444,3.0
101001046398,4.0,30.98,3109224.91,13855433.78,3.0
785503-101000934092,25.0,-23.04,3106921.63,13899539.38,3.0
101001187811,15.0,-33.14,3138126.34335,13804877.85301,3.0
101001122306,10.0,-8.92,3073802.52,13813134.28,3.0
11675900-101001124984,14.0,-5.9,3045009.0,13829872.04,3.0
101001188230,7.0,-170.11,3045789.29115,13818634.99413,3.0
276787-101000984503,25.0,80.13,3075472.33,13819312.98,3.0
101001061976,6.0,0.4,3097678.45,13786309.85,3.0
101000882059,6.0,-2.02,3100364.88,13797392.3,3.0
